id_rischio,tipo,dominio,titolo,classe_impatto,probabilita,stato,segnale_attivazione,mitigazione,evidenza_chiusura,responsabile,verifica_collegata,note
R-SUP-02,RISCHIO,Procurement,Vendor lock-in,I3,DA_DEFINIRE,APERTO,Cloud-only/proprietary dependency,Open protocols+config export+spares,Exit/maintenance plan,,DG3,
R-SUP-03,RISCHIO,SupplyChain,Lead times or spares unavailable,I3/I4,DA_DEFINIRE,APERTO,Long lead/SLA gap,Critical spares+local service,Approved supply/service plan,,DG3,
R-HR-01,RISCHIO,Workforce,Skills unavailable when needed,I3/I4,DA_DEFINIRE,APERTO,Hiring delay,Early hiring+backup+external escalation,Skill coverage matrix,,DG7,
R-HR-02,RISCHIO,Workforce,Excess dependency on promoter,I4,DA_DEFINIRE,APERTO,Single-person P0 skill,Primary+backup+runbooks,Owner absence drill PASS,,DG7,
R-MKT-01,RISCHIO,Market,Demand below P1 target,I4,DA_DEFINIRE,APERTO,Pre-sales or recurring sales below target,Channel validation+delay P2,Commercial DG8 evidence,,DG8,
R-MKT-02,RISCHIO,Market,Customer/channel concentration,I3,DA_DEFINIRE,APERTO,High concentration in actual sales,Channel mix,Concentration accepted from actuals,,DG8,
R-REG-02,RISCHIO,Grants,Eligibility/cumulation/double funding issue,I4,DA_DEFINIRE,APERTO,Unclear cost mapping,Expense-to-program matrix,Advisor-approved eligibility,,DG0,
R-REG-03,RISCHIO,Retail,Wrong fiscal/SUAP regime,I4,DA_DEFINIRE,APERTO,Unclosed retail regime,SUAP+commercialista verification,Go-live authorization,,DG7,
R-SAFE-01,RISCHIO,Safety,People-machine interaction,I4,DA_DEFINIRE,APERTO,Shared unsafe zone,Zoning+interlocks+procedures,Safety SAT PASS,,DG7,
R-SAFE-02,RISCHIO,Continuity,Cascading simultaneous failures,I4,DA_DEFINIRE,APERTO,Failure chain observed,Integrated failure SAT+72h endurance,Endurance PASS,,DG7,
R-PM-01,RISCHIO,Program,Too many parallel activities before inputs,I3/I4,DA_DEFINIRE,APERTO,Rework or conflicting RFQs,Dependency gates+freeze,Approved design freeze,,DG2,
R-PM-02,RISCHIO,Scope,Scope creep outside P1 core,I4,DA_DEFINIRE,APERTO,Extra feature without approved change,Core-extra separation+change control,Approved change request,,DG3,
R-PM-03,RISCHIO,Expansion,P1 choices block P2 expansion,I3/I4,DA_DEFINIRE,APERTO,No future capacity/access,Final-project envelope in permanent works,Expansion review PASS,,DG2,
R-MNT-01,RISCHIO,Maintenance,System cannot be maintained locally,I3/I4,DA_DEFINIRE,APERTO,Missing manuals/spares/training,Handover+PM+spares,Maintenance readiness PASS,,DG7,
R-MNT-03,RISCHIO,Lifecycle,Lifecycle cost underestimated,I3/I4,DA_DEFINIRE,APERTO,TCO exceeds plan,5-8-10y TCO,Accepted TCO from quotes/actuals,,DG8,
